iter	Passed	Remaining
0	17	12569
1	32	11238
2	47	10972
3	62	10920
4	79	11116
5	99	11511
6	117	11605
7	130	11282
8	143	11010
9	156	10785
10	170	10705
11	183	10526
12	198	10500
13	220	10803
14	243	11122
15	260	11151
16	278	11183
17	295	11214
18	313	11247
19	333	11337
20	351	11349
21	371	11451
22	391	11513
23	413	11632
24	433	11701
25	451	11710
26	471	11760
27	494	11871
28	512	11868
29	529	11833
30	546	11792
31	563	11755
32	578	11696
33	594	11638
34	607	11534
35	621	11458
36	634	11371
37	648	11297
38	661	11216
39	677	11175
40	691	11121
41	707	11081
42	722	11039
43	736	10982
44	751	10934
45	765	10885
46	779	10828
47	792	10758
48	805	10696
49	819	10648
50	839	10687
51	855	10665
52	868	10597
53	880	10531
54	894	10487
55	907	10441
56	922	10407
57	936	10368
58	951	10342
59	966	10308
60	982	10289
61	997	10264
62	1013	10245
63	1028	10224
64	1045	10218
65	1066	10244
66	1085	10254
67	1102	10248
68	1121	10254
69	1140	10268
70	1159	10268
71	1177	10272
72	1195	10271
73	1215	10285
74	1234	10289
75	1254	10297
76	1271	10286
77	1287	10270
78	1303	10242
79	1319	10228
80	1335	10203
81	1350	10177
82	1365	10149
83	1379	10113
84	1393	10079
85	1407	10046
86	1422	10019
87	1437	9994
88	1452	9971
89	1466	9940
90	1482	9918
91	1499	9906
92	1514	9881
93	1530	9868
94	1547	9857
95	1567	9859
96	1585	9857
97	1605	9859
98	1621	9841
99	1635	9815
100	1650	9789
101	1666	9768
102	1681	9745
103	1695	9717
104	1710	9693
105	1725	9670
106	1741	9652
107	1757	9633
108	1771	9607
109	1786	9583
110	1809	9599
111	1832	9619
112	1850	9614
113	1870	9615
114	1892	9626
115	1915	9645
116	1938	9661
117	1959	9663
118	1979	9666
119	2000	9669
120	2021	9672
121	2038	9659
122	2056	9647
123	2073	9633
124	2088	9608
125	2105	9592
126	2121	9571
127	2135	9544
128	2151	9524
129	2166	9500
130	2182	9478
131	2196	9452
132	2211	9427
133	2227	9408
134	2241	9381
135	2257	9363
136	2272	9340
137	2289	9322
138	2307	9311
139	2326	9307
140	2344	9293
141	2359	9272
142	2372	9242
143	2386	9214
144	2403	9198
145	2425	9205
146	2448	9210
147	2468	9205
148	2487	9198
149	2506	9189
150	2522	9171
151	2539	9155
152	2559	9150
153	2579	9144
154	2597	9134
155	2615	9122
156	2632	9104
157	2649	9088
158	2667	9075
159	2685	9064
160	2704	9054
161	2720	9033
162	2738	9022
163	2756	9007
164	2771	8987
165	2787	8967
166	2803	8946
167	2818	8923
168	2832	8900
169	2847	8878
170	2862	8854
171	2877	8833
172	2891	8808
173	2905	8784
174	2921	8763
175	2937	8746
176	2954	8729
177	2970	8711
178	2988	8699
179	3004	8680
180	3021	8665
181	3038	8649
182	3058	8641
183	3077	8629
184	3094	8615
185	3109	8593
186	3124	8572
187	3139	8551
188	3153	8526
189	3168	8505
190	3185	8489
191	3200	8468
192	3214	8444
193	3231	8428
194	3252	8422
195	3270	8408
196	3288	8395
197	3308	8388
198	3325	8373
199	3344	8361
200	3360	8343
201	3379	8330
202	3396	8315
203	3412	8297
204	3432	8287
205	3447	8267
206	3466	8255
207	3482	8236
208	3496	8215
209	3513	8199
210	3532	8186
211	3546	8164
212	3563	8147
213	3580	8131
214	3596	8113
215	3611	8092
216	3627	8073
217	3642	8053
218	3660	8038
219	3674	8017
220	3691	8001
221	3708	7984
222	3723	7964
223	3739	7947
224	3754	7926
225	3769	7905
226	3784	7884
227	3804	7875
228	3822	7861
229	3838	7843
230	3851	7818
231	3868	7804
232	3886	7790
233	3902	7772
234	3919	7755
235	3934	7735
236	3951	7720
237	3967	7701
238	3983	7684
239	4001	7668
240	4017	7651
241	4037	7641
242	4055	7627
243	4072	7611
244	4088	7593
245	4104	7575
246	4121	7557
247	4135	7538
248	4153	7522
249	4168	7503
250	4184	7485
251	4201	7470
252	4220	7456
253	4238	7441
254	4256	7427
255	4271	7408
256	4286	7388
257	4300	7367
258	4313	7344
259	4328	7324
260	4341	7303
261	4357	7284
262	4372	7264
263	4388	7247
264	4403	7228
265	4417	7207
266	4431	7187
267	4446	7167
268	4463	7151
269	4478	7131
270	4495	7115
271	4521	7114
272	4553	7121
273	4573	7110
274	4589	7092
275	4604	7073
276	4619	7053
277	4634	7035
278	4651	7018
279	4666	7000
280	4684	6984
281	4699	6966
282	4715	6948
283	4731	6930
284	4746	6912
285	4763	6895
286	4782	6882
287	4803	6872
288	4822	6858
289	4838	6841
290	4859	6829
291	4877	6815
292	4898	6804
293	4917	6791
294	4937	6778
295	4956	6764
296	4971	6746
297	4988	6730
298	5007	6715
299	5023	6698
300	5039	6680
301	5056	6663
302	5072	6646
303	5088	6628
304	5105	6612
305	5120	6592
306	5134	6572
307	5148	6553
308	5162	6532
309	5176	6511
310	5187	6488
311	5201	6469
312	5215	6448
313	5229	6428
314	5244	6410
315	5257	6388
316	5273	6371
317	5289	6354
318	5305	6336
319	5321	6318
320	5335	6300
321	5351	6281
322	5363	6260
323	5377	6240
324	5392	6221
325	5406	6202
326	5420	6182
327	5434	6163
328	5448	6144
329	5462	6124
330	5476	6104
331	5489	6084
332	5509	6072
333	5530	6060
334	5546	6042
335	5562	6025
336	5578	6009
337	5599	5997
338	5619	5984
339	5636	5968
340	5655	5954
341	5673	5938
342	5690	5922
343	5707	5906
344	5724	5889
345	5741	5874
346	5756	5855
347	5770	5836
348	5784	5817
349	5798	5798
350	5811	5778
351	5823	5757
352	5838	5738
353	5853	5721
354	5870	5705
355	5887	5689
356	5902	5670
357	5916	5652
358	5931	5633
359	5946	5616
360	5962	5598
361	5978	5582
362	5993	5564
363	6012	5550
364	6031	5536
365	6045	5517
366	6060	5498
367	6073	5479
368	6087	5460
369	6101	5441
370	6115	5423
371	6129	5404
372	6142	5384
373	6155	5365
374	6171	5348
375	6185	5329
376	6199	5311
377	6214	5293
378	6230	5276
379	6251	5264
380	6268	5248
381	6284	5231
382	6298	5212
383	6315	5197
384	6331	5180
385	6350	5165
386	6367	5150
387	6384	5134
388	6400	5117
389	6416	5100
390	6432	5083
391	6450	5067
392	6463	5049
393	6478	5031
394	6491	5012
395	6505	4994
396	6520	4976
397	6533	4957
398	6545	4937
399	6558	4918
400	6571	4899
401	6584	4881
402	6598	4862
403	6611	4844
404	6624	4824
405	6637	4806
406	6652	4788
407	6664	4770
408	6677	4750
409	6689	4731
410	6701	4712
411	6715	4693
412	6738	4682
413	6767	4675
414	6790	4663
415	6806	4646
416	6821	4629
417	6834	4610
418	6848	4592
419	6861	4574
420	6875	4556
421	6891	4540
422	6906	4522
423	6920	4504
424	6933	4486
425	6948	4469
426	6963	4451
427	6978	4434
428	6998	4421
429	7018	4406
430	7033	4389
431	7047	4372
432	7066	4357
433	7083	4341
434	7098	4324
435	7114	4307
436	7130	4291
437	7147	4275
438	7162	4258
439	7178	4242
440	7194	4225
441	7208	4207
442	7222	4189
443	7235	4171
444	7249	4154
445	7263	4136
446	7277	4119
447	7290	4100
448	7303	4082
449	7315	4064
450	7330	4047
451	7345	4030
452	7359	4012
453	7372	3994
454	7385	3976
455	7398	3958
456	7412	3941
457	7427	3924
458	7441	3907
459	7453	3889
460	7466	3871
461	7480	3853
462	7495	3836
463	7513	3821
464	7528	3804
465	7541	3787
466	7553	3768
467	7565	3750
468	7578	3732
469	7592	3715
470	7607	3698
471	7622	3682
472	7637	3665
473	7653	3649
474	7668	3632
475	7683	3615
476	7697	3598
477	7711	3581
478	7729	3565
479	7748	3551
480	7766	3535
481	7783	3520
482	7797	3503
483	7813	3486
484	7828	3470
485	7852	3457
486	7874	3444
487	7892	3428
488	7909	3412
489	7923	3395
490	7939	3379
491	7955	3363
492	7969	3346
493	7984	3329
494	7998	3312
495	8016	3297
496	8032	3280
497	8044	3263
498	8057	3245
499	8070	3228
500	8083	3210
501	8097	3193
502	8112	3177
503	8125	3159
504	8137	3142
505	8150	3124
506	8163	3107
507	8177	3090
508	8189	3073
509	8202	3055
510	8217	3039
511	8236	3024
512	8255	3009
513	8269	2992
514	8281	2974
515	8294	2957
516	8307	2940
517	8321	2923
518	8335	2906
519	8350	2890
520	8363	2873
521	8376	2856
522	8389	2839
523	8402	2822
524	8414	2804
525	8427	2787
526	8441	2771
527	8454	2754
528	8472	2738
529	8489	2723
530	8504	2706
531	8520	2690
532	8537	2674
533	8556	2659
534	8572	2643
535	8591	2628
536	8609	2613
537	8626	2597
538	8646	2582
539	8662	2566
540	8678	2550
541	8694	2534
542	8712	2518
543	8728	2502
544	8742	2486
545	8757	2470
546	8770	2453
547	8785	2436
548	8799	2420
549	8814	2404
550	8828	2387
551	8845	2371
552	8863	2356
553	8876	2339
554	8891	2322
555	8906	2306
556	8921	2290
557	8934	2273
558	8961	2260
559	8988	2247
560	9010	2232
561	9026	2216
562	9038	2199
563	9051	2182
564	9066	2166
565	9079	2149
566	9093	2132
567	9106	2116
568	9120	2099
569	9133	2083
570	9146	2066
571	9158	2049
572	9173	2033
573	9187	2016
574	9204	2001
575	9223	1985
576	9241	1970
577	9258	1954
578	9274	1938
579	9288	1921
580	9304	1905
581	9321	1890
582	9336	1873
583	9352	1857
584	9369	1841
585	9387	1826
586	9403	1810
587	9419	1794
588	9432	1777
589	9446	1761
590	9460	1744
591	9473	1728
592	9488	1712
593	9503	1695
594	9517	1679
595	9530	1663
596	9543	1646
597	9556	1630
598	9570	1613
599	9584	1597
600	9597	1581
601	9611	1564
602	9623	1548
603	9637	1531
604	9651	1515
605	9664	1499
606	9678	1482
607	9691	1466
608	9705	1450
609	9720	1434
610	9735	1418
611	9749	1401
612	9763	1385
613	9777	1369
614	9790	1353
615	9807	1337
616	9823	1321
617	9840	1305
618	9854	1289
619	9869	1273
620	9887	1257
621	9903	1241
622	9919	1226
623	9936	1210
624	9954	1194
625	9970	1178
626	9985	1162
627	10002	1146
628	10016	1130
629	10031	1114
630	10045	1098
631	10063	1082
632	10079	1066
633	10094	1050
634	10111	1034
635	10126	1019
636	10142	1003
637	10156	987
638	10171	971
639	10187	955
640	10203	939
641	10219	923
642	10233	907
643	10246	890
644	10261	874
645	10274	858
646	10287	842
647	10301	826
648	10314	810
649	10328	794
650	10341	778
651	10355	762
652	10369	746
653	10383	730
654	10398	714
655	10412	698
656	10427	682
657	10442	666
658	10459	650
659	10477	634
660	10492	619
661	10507	603
662	10520	587
663	10534	571
664	10549	555
665	10563	539
666	10578	523
667	10592	507
668	10606	491
669	10622	475
670	10637	459
671	10652	443
672	10667	427
673	10685	412
674	10701	396
675	10719	380
676	10736	364
677	10751	348
678	10771	333
679	10790	317
680	10807	301
681	10822	285
682	10839	269
683	10859	254
684	10875	238
685	10893	222
686	10909	206
687	10924	190
688	10939	174
689	10955	158
690	10971	142
691	10987	127
692	11000	111
693	11013	95
694	11026	79
695	11039	63
696	11053	47
697	11066	31
698	11078	15
699	11090	0
