iter	RMSE
0	922.970138
1	872.5340656
2	824.1440717
3	779.2252414
4	737.0648171
5	696.8763964
6	659.9151681
7	624.8706093
8	591.6078976
9	560.6298005
10	531.3603563
11	504.5764236
12	478.9096071
13	454.8663931
14	432.4518181
15	410.9232134
16	390.8405123
17	372.102519
18	354.5318462
19	338.3248873
20	323.0387622
21	308.4898527
22	295.3271473
23	282.6173786
24	271.1079007
25	259.4908337
26	249.1929275
27	238.8771291
28	229.2336286
29	220.8506657
30	213.1809538
31	205.2236405
32	197.5341054
33	190.9087347
34	184.983097
35	178.8874409
36	173.4374163
37	168.4129599
38	163.6313538
39	159.0583667
40	154.595192
41	150.8344747
42	146.8579038
43	143.6774391
44	140.3787501
45	136.9670234
46	134.2905659
47	132.0240147
48	129.5210839
49	127.0668068
50	124.7399861
51	123.0191758
52	120.9968524
53	118.9359306
54	117.1605203
55	115.4141558
56	113.9074554
57	112.5030239
58	111.2800054
59	110.3273697
60	109.1616362
61	107.8422147
62	107.0722592
63	105.8595782
64	104.58402
65	103.8427142
66	103.1759607
67	102.6158604
68	101.5556368
69	100.754619
70	99.88013567
71	99.27262842
72	98.35581531
73	97.83023716
74	96.92848975
75	96.19774451
76	95.62137007
77	95.16514343
78	94.65290086
79	94.01181652
80	93.49124228
81	92.98808019
82	92.55238165
83	92.29715381
84	91.91042527
85	91.58951288
86	91.26258973
87	90.97223472
88	90.54329763
89	90.21628704
90	89.82352393
91	89.2813703
92	89.11073174
93	88.79221389
94	88.45532666
95	88.20654744
96	88.03761188
97	87.74112272
98	87.33684652
99	86.95947588
100	86.73365621
101	86.38849542
102	86.11623622
103	85.90992979
104	85.7496719
105	85.49853122
106	85.17475798
107	84.87614672
108	84.68515917
109	84.54029081
110	84.32389919
111	83.99167149
112	83.81319201
113	83.7354505
114	83.41103116
115	83.03145878
116	82.87869008
117	82.55895019
118	82.36980133
119	82.14134245
120	81.91635573
121	81.73247352
122	81.59534503
123	81.50346131
124	81.43536037
125	81.18568597
126	80.92775108
127	80.77617753
128	80.48971563
129	80.2933679
130	80.04612463
131	79.91222948
132	79.77853797
133	79.67836042
134	79.55169385
135	79.39967805
136	79.1833494
137	78.99412136
138	78.74977823
139	78.57053692
140	78.48077691
141	78.39517455
142	78.25255647
143	78.13743104
144	78.0527947
145	77.96016313
146	77.80096954
147	77.69383823
148	77.55696435
149	77.40771275
150	77.24404804
151	77.10129089
152	77.00564914
153	76.83514027
154	76.71442669
155	76.58894496
156	76.49541322
157	76.33984365
158	76.26637412
159	76.09301646
160	76.02777829
161	75.9758766
162	75.9193433
163	75.86579972
164	75.70808572
165	75.56439628
166	75.45381294
167	75.38152588
168	75.27112677
169	75.1535407
170	75.0445041
171	74.94728221
172	74.88976335
173	74.82467929
174	74.75471367
175	74.65010955
176	74.57507905
177	74.45525376
178	74.40675163
179	74.2188938
180	74.14383436
181	74.00083038
182	73.92987527
183	73.88304189
184	73.71821001
185	73.67571104
186	73.61999599
187	73.53424316
188	73.48444682
189	73.42448822
190	73.35621938
191	73.25454919
192	73.20127946
193	73.13110043
194	73.02111672
195	72.96666261
196	72.89155679
197	72.80380908
198	72.75526804
199	72.69952095
200	72.65692867
201	72.61605518
202	72.57016256
203	72.50053352
204	72.35911694
205	72.30267578
206	72.22284937
207	72.19127133
208	72.14362872
209	72.08655309
210	72.02788604
211	71.98347708
212	71.91093325
213	71.84176186
214	71.76192324
215	71.72186226
216	71.65544188
217	71.62143005
218	71.56223556
219	71.53096869
220	71.47820521
221	71.42517097
222	71.33037106
223	71.28618096
224	71.24171402
225	71.1723894
226	71.14142936
227	71.08224404
228	71.02357498
229	70.97301649
230	70.93583796
231	70.88670575
232	70.84964978
233	70.7883005
234	70.71823225
235	70.69297372
236	70.64584818
237	70.61870427
238	70.56068855
239	70.43747924
240	70.36873978
241	70.31221626
242	70.2689187
243	70.20506438
244	70.13529615
245	70.09832599
246	70.05053428
247	69.99810925
248	69.96271705
249	69.93198046
250	69.87957765
251	69.83614924
252	69.77416825
253	69.72998881
254	69.67693259
255	69.61197845
256	69.57890832
257	69.55191959
258	69.52805673
259	69.47380557
260	69.4241351
261	69.3672296
262	69.33801145
263	69.2851018
264	69.22382335
