iter	Passed	Remaining
0	19	13281
1	34	11927
2	48	11305
3	64	11266
4	81	11271
5	98	11401
6	113	11229
7	128	11140
8	142	10950
9	156	10789
10	169	10642
11	183	10532
12	200	10579
13	215	10571
14	232	10639
15	251	10753
16	268	10799
17	286	10841
18	303	10889
19	323	10983
20	341	11042
21	359	11087
22	378	11134
23	398	11236
24	418	11289
25	434	11275
26	451	11250
27	467	11215
28	482	11154
29	495	11075
30	510	11006
31	524	10949
32	539	10902
33	555	10888
34	569	10821
35	583	10758
36	597	10703
37	612	10663
38	625	10604
39	641	10578
40	655	10532
41	669	10490
42	682	10433
43	696	10391
44	711	10356
45	724	10306
46	740	10286
47	757	10287
48	772	10269
49	786	10227
50	801	10196
51	819	10212
52	843	10293
53	856	10248
54	871	10222
55	886	10192
56	903	10189
57	917	10157
58	930	10111
59	945	10080
60	960	10058
61	974	10030
62	989	10003
63	1004	9982
64	1020	9970
65	1035	9951
66	1053	9954
67	1073	9974
68	1091	9979
69	1108	9976
70	1123	9954
71	1141	9956
72	1163	9990
73	1182	10005
74	1199	9999
75	1218	10002
76	1235	10000
77	1252	9990
78	1267	9964
79	1284	9954
80	1299	9927
81	1314	9907
82	1330	9891
83	1345	9868
84	1360	9842
85	1373	9807
86	1387	9777
87	1402	9754
88	1419	9743
89	1434	9724
90	1451	9714
91	1469	9713
92	1487	9705
93	1502	9687
94	1517	9666
95	1532	9642
96	1547	9620
97	1565	9615
98	1583	9609
99	1598	9589
100	1611	9559
101	1626	9533
102	1640	9507
103	1654	9480
104	1668	9452
105	1683	9431
106	1698	9411
107	1711	9379
108	1724	9352
109	1737	9321
110	1751	9296
111	1766	9274
112	1782	9258
113	1797	9241
114	1815	9234
115	1834	9237
116	1850	9222
117	1868	9215
118	1890	9229
119	1910	9235
120	1926	9219
121	1944	9212
122	1963	9211
123	1980	9199
124	1996	9181
125	2012	9168
126	2028	9153
127	2043	9129
128	2057	9106
129	2071	9082
130	2086	9062
131	2100	9037
132	2113	9011
133	2129	8993
134	2141	8964
135	2154	8936
136	2170	8918
137	2185	8900
138	2200	8879
139	2214	8859
140	2229	8838
141	2243	8817
142	2259	8800
143	2274	8782
144	2291	8771
145	2310	8766
146	2324	8744
147	2338	8722
148	2352	8699
149	2369	8686
150	2383	8664
151	2396	8640
152	2409	8616
153	2424	8595
154	2439	8577
155	2455	8563
156	2469	8541
157	2483	8519
158	2499	8505
159	2517	8497
160	2536	8492
161	2552	8475
162	2567	8459
163	2584	8448
164	2602	8438
165	2617	8420
166	2633	8406
167	2650	8394
168	2668	8383
169	2684	8368
170	2699	8350
171	2717	8342
172	2734	8330
173	2750	8315
174	2764	8294
175	2780	8277
176	2793	8253
177	2807	8232
178	2822	8215
179	2838	8201
180	2853	8181
181	2868	8165
182	2884	8147
183	2899	8131
184	2915	8116
185	2929	8094
186	2942	8073
187	2956	8050
188	2970	8030
189	2986	8015
190	3000	7996
191	3015	7978
192	3030	7960
193	3046	7947
